SID,Level,WORD,POS,Vowel_Type,Stressed_Vowel
1,C,abolish,v.,Monophthong,/ ɑ /
2,C,abortion,n.,Monophthong,/ ɔ /
3,C,absence,n.,Monophthong,/ æ /
4,C,absent,adj.,Monophthong,/ æ /
5,C,absurd,adj.,Monophthong,/ ɝ /
6,C,abundance,n.,Monophthong,/ ʌ /
7,C,abuse,n.,Monophthong,/ u /
8,C,abuse,v.,Monophthong,/ u /
9,C,academy,n.,Monophthong,/ æ /
10,C,accelerate,v.,Monophthong,/ ɛ /
11,C,acceptance,n.,Monophthong,/ ɛ /
12,C,accessible,adj.,Monophthong,/ ɛ /
13,C,accomplishment,n.,Monophthong,/ ɑ /
14,C,accordance,n.,Monophthong,/ ɔ /
15,C,accordingly,adv.,Monophthong,/ ɔ /
16,C,accountability,n.,Monophthong,/ ɪ /
17,C,accountable,adj.,Diphthong,/ aʊ
18,C,accumulate,v.,Monophthong,/ u /
19,C,accumulation,n.,Diphthong,/ eɪ /
20,C,accusation,n.,Diphthong,/ eɪ /
21,C,accused,n.,Monophthong,/ u /
22,C,acid,adj.,Monophthong,/ æ /
23,C,acquisition,n.,Monophthong,/ ɪ /
24,C,acre,n.,Diphthong,/ eɪ /
25,C,activation,n.,Diphthong,/ eɪ /
26,C,activist,n.,Monophthong,/ æ /
27,C,acute,adj.,Monophthong,/ u /
28,C,adaptation,n.,Diphthong,/ eɪ /
29,C,adhere,v.,Monophthong,/ ɪ /
30,C,adjacent,adj.,Diphthong,/ eɪ /
31,C,adjustment,n.,Monophthong,/ ʌ /
32,C,administer,v.,Monophthong,/ ɪ /
33,C,administrative,adj.,Monophthong,/ ɪ /
34,C,administrator,n.,Monophthong,/ ɪ /
35,C,admission,n.,Monophthong,/ ɪ /
36,C,adolescent,n.,Monophthong,/ ɛ /
37,C,adoption,n.,Monophthong,/ ɑ /
38,C,adverse,adj.,Monophthong,/ ɝ /
39,C,advocate,n.,Monophthong,/ æ /
40,C,advocate,v.,Monophthong,/ æ /
41,C,aesthetic,adj.,Monophthong,/ ɛ /
42,C,affection,n.,Monophthong,/ ɛ /
43,C,aftermath,n.,Monophthong,/ æ /
44,C,aggression,n.,Monophthong,/ ɛ /
45,C,agricultural,adj.,Monophthong,/ æ /
46,C,aide,n.,Diphthong,/ eɪ /
47,C,albeit,conj.,Monophthong,/ i /
48,C,alert,v.,Monophthong,/ ɝ /
49,C,alert,n.,Monophthong,/ ɝ /
50,C,alien,adj.,Diphthong,/ eɪ /
51,C,align,v.,Diphthong,/ aɪ /
52,C,alignment,n.,Diphthong,/ aɪ /
53,C,alike,adv.,Diphthong,/ aɪ /
54,C,alike,adj.,Diphthong,/ aɪ /
55,C,allegation,n.,Diphthong,/ eɪ /
56,C,allege,v.,Monophthong,/ ɛ /
57,C,allegedly,adv.,Monophthong,/ ɛ /
58,C,alliance,n.,Diphthong,/ aɪ /
59,C,allocate,v.,Monophthong,/ æ /
60,C,allocation,n.,Diphthong,/ eɪ /
61,C,allowance,n.,Diphthong,/ aʊ
62,C,ally,n.,Monophthong,/ æ /
63,C,aluminium,n.,Monophthong,/ ɪ /
64,C,amateur,n.,Monophthong,/ æ /
65,C,ambassador,n.,Monophthong,/ æ /
66,C,amend,v.,Monophthong,/ ɛ /
67,C,amendment,n.,Monophthong,/ ɛ /
68,C,amid,prep.,Monophthong,/ ɪ /
69,C,analogy,n.,Monophthong,/ æ /
70,C,anchor,n.,Monophthong,/ æ /
71,C,angel,n.,Diphthong,/ eɪ /
72,C,anonymous,adj.,Monophthong,/ ɑ /
73,C,apparatus,n.,Monophthong,/ æ /
74,C,appealing,adj.,Monophthong,/ i /
75,C,appetite,n.,Monophthong,/ æ /
76,C,applaud,v.,Monophthong,/ ɔ /
77,C,applicable,adj.,Monophthong,/ ɪ /
78,C,appoint,v.,Diphthong,/ ɔɪ /
79,C,appreciation,n.,Diphthong,/ eɪ /
80,C,arbitrary,adj.,Monophthong,/ ɑ /
81,C,architectural,adj.,Monophthong,/ ɛ /
82,C,archive,n.,Monophthong,/ ɑ /
83,C,arena,n.,Monophthong,/ i /
84,C,arguably,adv.,Monophthong,/ ɑ /
85,C,arm,v.,Monophthong,/ ɑ /
86,C,array,n.,Diphthong,/ eɪ /
87,C,articulate,v.,Monophthong,/ ɪ /
88,C,ash,n.,Monophthong,/ æ /
89,C,aspiration,n.,Diphthong,/ eɪ /
90,C,aspire,v.,Diphthong,/ aɪ /
91,C,assassination,n.,Diphthong,/ eɪ /
92,C,assault,n.,Monophthong,/ ɔ /
93,C,assault,v.,Monophthong,/ ɔ /
94,C,assemble,v.,Monophthong,/ ɛ /
95,C,assembly,n.,Monophthong,/ ɛ /
96,C,assert,v.,Monophthong,/ ɝ /
97,C,assertion,n.,Monophthong,/ ɝ /
,C,,,,
98,C,assurance,n.,Monophthong,/ ʊ /
99,C,asylum,n.,Diphthong,/ aɪ /
100,C,atrocity,n.,Monophthong,/ ɑ /
101,C,attain,v.,Diphthong,/ eɪ /
102,C,attendance,n.,Monophthong,/ ɛ /
103,C,attorney,n.,Monophthong,/ ɝ /
104,C,attribute,v.,Monophthong,/ ɪ /
105,C,attribute,n.,Monophthong,/ æ /
106,C,audit,n.,Monophthong,/ ɔ /
107,C,authentic,adj.,Monophthong,/ ɛ /
108,C,authorize,v.,Monophthong,/ ɔ /
109,C,auto,n.,Monophthong,/ ɔ /
110,C,autonomy,n.,Monophthong,/ ɑ /
111,C,availability,n.,Monophthong,/ ɪ /
112,C,await,v.,Diphthong,/ eɪ /
113,C,backdrop,n.,Monophthong,/ æ /
114,C,backing,n.,Monophthong,/ æ /
115,C,backup,n.,Monophthong,/ æ /
116,C,bail,n.,Diphthong,/ eɪ /
117,C,ballot,n.,Monophthong,/ æ /
118,C,banner,n.,Monophthong,/ æ /
119,C,bare,adj.,Monophthong,/ ɛ /
120,C,barrel,n.,Monophthong,/ æ /
121,C,bass1,n.,Diphthong,/ eɪ /
122,C,bat,v.,Monophthong,/ æ /
123,C,battlefield,n.,Monophthong,/ æ /
124,C,bay,n.,Diphthong,/ eɪ /
125,C,beam,n.,Monophthong,/ i /
126,C,beast,n.,Monophthong,/ i /
127,C,behalf,n.,Monophthong,/ æ /
128,C,beloved,adj.,Monophthong,/ ʌ /
129,C,bench,n.,Monophthong,/ ɛ /
130,C,benchmark,n.,Monophthong,/ ɛ /
131,C,beneath,prep.,Monophthong,/ i /
132,C,beneficiary,n.,Monophthong,/ ɪ /
133,C,betray,v.,Diphthong,/ eɪ /
134,C,bind,v.,Diphthong,/ aɪ /
135,C,biography,n.,Monophthong,/ ɑ /
136,C,bishop,n.,Monophthong,/ ɪ /
137,C,bizarre,adj.,Monophthong,/ ɑ /
138,C,blade,n.,Diphthong,/ eɪ /
139,C,blast,n.,Monophthong,/ æ /
140,C,blast,v.,Monophthong,/ æ /
141,C,bleed,v.,Monophthong,/ i /
142,C,blend,v.,Monophthong,/ ɛ /
143,C,blend,n.,Monophthong,/ ɛ /
144,C,bless,v.,Monophthong,/ ɛ /
145,C,blessing,n.,Monophthong,/ ɛ /
146,C,boast,v.,Diphthong,/ oʊ /
147,C,bonus,n.,Diphthong,/ oʊ /
148,C,boom,n.,Monophthong,/ u /
149,C,bounce,v.,Diphthong,/ aʊ
150,C,boundary,n.,Diphthong,/ aʊ
151,C,bow1,v.,Diphthong,/ aʊ
152,C,bow1,n.,Diphthong,/ aʊ
153,C,breach,n.,Monophthong,/ i /
154,C,breach,v.,Monophthong,/ i /
155,C,breakdown,n.,Diphthong,/ aʊ
156,C,breakthrough,n.,Diphthong,/ eɪ /
157,C,breed,v.,Monophthong,/ i /
158,C,breed,n.,Monophthong,/ i /
159,C,broadband,n.,Monophthong,/ ɔ /
160,C,browser,n.,Diphthong,/ aʊ
161,C,brutal,adj.,Monophthong,/ u /
162,C,buck,n.,Monophthong,/ ʌ /
163,C,buddy,n.,Monophthong,/ ʌ /
164,C,buffer,n.,Monophthong,/ ʌ /
165,C,bulk,n.,Monophthong,/ ʌ /
166,C,burden,n.,Monophthong,/ ɝ /
167,C,bureaucracy,n.,Monophthong,/ ɑ /
168,C,burial,n.,Monophthong,/ ɝ /
169,C,burst,v.,Monophthong,/ ɝ /
170,C,cabinet,n.,Monophthong,/ æ /
171,C,calculation,n.,Diphthong,/ eɪ /
172,C,canvas,n.,Monophthong,/ æ /
173,C,capability,n.,Monophthong,/ ɪ /
174,C,capitalism,n.,Monophthong,/ æ /
175,C,capitalist,adj.,Monophthong,/ æ /
176,C,cargo,n.,Monophthong,/ ɑ /
177,C,carriage,n.,Monophthong,/ æ /
178,C,carve,v.,Monophthong,/ ɑ /
179,C,casino,n.,Monophthong,/ i /
180,C,casualty,n.,Monophthong,/ æ /
181,C,catalogue,n.,Monophthong,/ æ /
182,C,cater,v.,Diphthong,/ eɪ /
183,C,cattle,n.,Monophthong,/ æ /
184,C,caution,n.,Monophthong,/ ɔ /
185,C,cautious,adj.,Monophthong,/ ɔ /
186,C,cease,v.,Monophthong,/ i /
187,C,cemetery,n.,Monophthong,/ ɛ /
188,C,chamber,n.,Diphthong,/ eɪ /
189,C,chaos,n.,Diphthong,/ eɪ /
190,C,characterize,v.,Monophthong,/ æ /
191,C,charm,n.,Monophthong,/ ɑ /
192,C,charter,n.,Monophthong,/ ɑ /
193,C,chronic,adj.,Monophthong,/ ɑ /
194,C,chunk,n.,Monophthong,/ ʌ /
195,C,circulate,v.,Monophthong,/ ɝ /
196,C,circulation,n.,Monophthong,/ eɪ /
197,C,citizenship,n.,Monophthong,/ ɪ /
198,C,civic,adj.,Monophthong,/ ɪ /
199,C,civilian,n.,Monophthong,/ ɪ /
200,C,clarity,n.,Monophthong,/ æ /
201,C,clash,n.,Monophthong,/ æ /
202,C,classification,n.,Diphthong,/ eɪ /
203,C,cling,v.,Monophthong,/ ɪ /
204,C,clinical,adj.,Monophthong,/ ɪ /
205,C,closure,n.,Diphthong,/ oʊ /
206,C,cluster,n.,Monophthong,/ ʌ /
207,C,coalition,n.,Monophthong,/ ɪ /
208,C,coastal,adj.,Diphthong,/ oʊ /
209,C,cocktail,n.,Monophthong,/ ɑ /
210,C,cognitive,adj.,Monophthong,/ ɑ /
211,C,coincide,v.,Monophthong,/ ɔ /
212,C,collaborate,v.,Diphthong,/ aɪ /
213,C,collaboration,n.,Diphthong,/ eɪ /
214,C,collective,adj.,Monophthong,/ ɛ /
215,C,collision,n.,Monophthong,/ ɪ /
216,C,colonial,adj.,Diphthong,/ oʊ /
217,C,columnist,n.,Monophthong,/ ɑ /
218,C,combat,n.,Monophthong,/ ɑ /
219,C,combat,v.,Monophthong,/ ɑ /
220,C,commence,v.,Monophthong,/ ɛ /
221,C,commentary,n.,Monophthong,/ ɑ /
222,C,commentator,n.,Monophthong,/ ɑ /
223,C,commerce,n.,Monophthong,/ ɑ /
224,C,commissioner,n.,Monophthong,/ ɪ /
225,C,commodity,n.,Monophthong,/ ɑ /
226,C,communist,adj.,Monophthong,/ ɑ /
227,C,companion,n.,Monophthong,/ æ /
228,C,comparable,adj.,Monophthong,/ ɑ /
229,C,compassion,n.,Monophthong,/ æ /
230,C,compel,v.,Monophthong,/ ɛ /
231,C,compelling,adj.,Monophthong,/ ɛ /
232,C,compensate,v.,Monophthong,/ ɑ /
233,C,compensation,n.,Diphthong,/ eɪ /
234,C,competence,n.,Monophthong,/ ɑ /
235,C,competent,adj.,Monophthong,/ ɑ /
236,C,compile,v.,Diphthong,/ aɪ /
237,C,complement,v.,Monophthong,/ ɑ /
238,C,complexity,n.,Monophthong,/ ɛ /
239,C,compliance,n.,Diphthong,/ aɪ /
240,C,complication,n.,Diphthong,/ eɪ /
241,C,comply,v.,Diphthong,/ aɪ /
242,C,composition,n.,Monophthong,/ ɪ /
243,C,compromise,n.,Monophthong,/ ɑ /
244,C,compromise,v.,Monophthong,/ ɑ /
245,C,compute,v.,Monophthong,/ u /
246,C,conceal,v.,Monophthong,/ i /
247,C,concede,v.,Monophthong,/ i /
248,C,conceive,v.,Monophthong,/ i /
249,C,conception,n.,Monophthong,/ ɛ /
250,C,concession,n.,Monophthong,/ ɛ /
251,C,condemn,v.,Monophthong,/ ɛ /
252,C,confer,v.,Monophthong,/ ɝ /
253,C,confession,n.,Monophthong,/ ɛ /
254,C,configuration,n.,Diphthong,/ eɪ /
255,C,confine,v.,Diphthong,/ aɪ /
256,C,confirmation,n.,Diphthong,/ eɪ /
257,C,confront,v.,Monophthong,/ ʌ /
258,C,confrontation,n.,Diphthong,/ eɪ /
259,C,congratulate,v.,Monophthong,/ æ /
260,C,congregation,n.,Diphthong,/ eɪ /
261,C,congressional,adj.,Monophthong,/ ɛ /
262,C,conquer,v.,Monophthong,/ ɑ /
263,C,conscience,n.,Monophthong,/ ɑ /
264,C,consciousness,n.,Monophthong,/ ɑ /
265,C,consecutive,adj.,Monophthong,/ ɛ /
266,C,consensus,n.,Monophthong,/ ɛ /
267,C,consent,n.,Monophthong,/ ɛ /
268,C,consent,v.,Monophthong,/ ɛ /
269,C,conserve,v.,Monophthong,/ ɛ /
270,C,consistency,n.,Monophthong,/ ɪ /
271,C,consolidate,v.,Monophthong,/ ɑ /
272,C,constituency,n.,Monophthong,/ ɪ /
273,C,constitute,v.,Monophthong,/ ɑ /
274,C,constitution,n.,Monophthong,/ u /
275,C,constitutional,adj.,Monophthong,/ u /
276,C,constraint,n.,Diphthong,/ eɪ /
277,C,consultation,n.,Diphthong,/ eɪ /
278,C,contemplate,v.,Monophthong,/ ɑ /
279,C,contempt,n.,Monophthong,/ ɛ /
280,C,contend,v.,Monophthong,/ ɛ /
281,C,contender,n.,Monophthong,/ ɛ /
282,C,content,adj.,Monophthong,/ ɑ /
283,C,contention,n.,Monophthong,/ ɛ /
284,C,continually,adv.,Monophthong,/ ɪ /
285,C,contractor,n.,Monophthong,/ ɑ /
286,C,contradiction,n.,Monophthong,/ ɪ /
287,C,contrary,adj.,Monophthong,/ ɑ /
288,C,contrary,n.,Monophthong,/ ɑ /
289,C,contributor,n.,Monophthong,/ ɪ /
290,C,conversion,n.,Monophthong,/ ɝ /
291,C,convict,v.,Monophthong,/ i /
292,C,conviction,n.,Monophthong,/ i /
293,C,cooperate,v.,Monophthong,/ ɑ /
294,C,cooperative,adj.,Monophthong,/ ɑ /
295,C,coordinate,v.,Monophthong,/ ɔ /
296,C,coordination,n.,Diphthong,/ eɪ /
297,C,coordinator,n.,Monophthong,/ ɔ /
298,C,cop,n.,Monophthong,/ ɑ /
299,C,copper,n.,Monophthong,/ ɑ /
300,C,copyright,n.,Monophthong,/ ɑ /
301,C,correction,n.,Monophthong,/ ɛ /
302,C,correlate,v.,Monophthong,/ ɔ /
303,C,correlation,n.,Diphthong,/ eɪ /
304,C,correspond,v.,Monophthong,/ ɑ /
305,C,correspondence,n.,Monophthong,/ ɑ /
306,C,correspondent,n.,Monophthong,/ ɑ /
307,C,corresponding,adj.,Monophthong,/ ɑ /
308,C,corrupt,adj.,Monophthong,/ ʌ /
309,C,corruption,n.,Monophthong,/ ʌ /
310,C,costly,adj.,Monophthong,/ ɔ /
311,C,councilor,n.,Diphthong,/ aʊ
312,C,counseling,n.,Diphthong,/ aʊ
313,C,counselor,n.,Diphthong,/ aʊ
314,C,counter,(argue against) v.,Diphthong,/ aʊ
315,C,counterpart,n.,Diphthong,/ aʊ
316,C,countless,adj.,Diphthong,/ aʊ
317,C,coup,n.,Monophthong,/ u /
318,C,courtesy,n.,Monophthong,/ ɝ /
319,C,craft,v.,Monophthong,/ æ /
320,C,crawl,v.,Monophthong,/ ɔ /
321,C,creator,n.,Diphthong,/ eɪ /
322,C,credibility,n.,Monophthong,/ i /
323,C,credible,adj.,Monophthong,/ ɛ /
324,C,creep,v.,Monophthong,/ i /
325,C,critique,n.,Monophthong,/ i /
326,C,crown,n.,Diphthong,/ aʊ
327,C,crude,adj.,Monophthong,/ ʌ /
328,C,crush,v.,Monophthong,/ ʌ /
329,C,crystal,n.,Monophthong,/ i /
330,C,cult,n.,Monophthong,/ ʌ /
331,C,cultivate,v.,Monophthong,/ ʌ /
332,C,curiosity,n.,Monophthong,/ ɑ /
333,C,custody,n.,Monophthong,/ ʌ /
334,C,cutting,n.,Monophthong,/ ʌ /
335,C,cynical,adj.,Monophthong,/ i /
336,C,dam,n.,Monophthong,/ æ /
337,C,damaging,adj.,Monophthong,/ æ /
338,C,dawn,n.,Monophthong,/ ɔ /
339,C,debris,n.,Monophthong,/ i /
340,C,debut,n.,Monophthong,/ u /
341,C,decision-making,n.,Monophthong,/ i /
342,C,decisive,adj.,Diphthong,/ aɪ /
343,C,declaration,n.,Diphthong,/ eɪ /
344,C,dedicated,adj.,Monophthong,/ ɛ /
345,C,dedication,n.,Diphthong,/ eɪ /
346,C,deed,n.,Monophthong,/ i /
347,C,deem,v.,Monophthong,/ i /
348,C,default,n.,Monophthong,/ ɔ /
349,C,defect,n.,Monophthong,/ i /
350,C,defensive,adj.,Monophthong,/ ɛ /
351,C,deficiency,n.,Monophthong,/ ɪ /
352,C,deficit,n.,Monophthong,/ ɛ /
353,C,defy,v.,Diphthong,/ aɪ /
354,C,delegate,n.,Monophthong,/ ɛ /
355,C,delegation,n.,Diphthong,/ eɪ /
356,C,delicate,adj.,Monophthong,/ ɛ /
357,C,demon,n.,Monophthong,/ i /
358,C,denial,n.,Diphthong,/ aɪ /
359,C,denounce,v.,Diphthong,/ aʊ
360,C,dense,adj.,Monophthong,/ ɛ /
361,C,density,n.,Monophthong,/ ɛ /
362,C,dependence,n.,Monophthong,/ ɛ /
363,C,depict,v.,Monophthong,/ ɪ /
364,C,deploy,v.,Diphthong,/ ɔɪ /
365,C,deployment,n.,Diphthong,/ ɔɪ /
366,C,deposit,v.,Monophthong,/ ɑ /
367,C,deprive,v.,Diphthong,/ aɪ /
368,C,deputy,n.,Monophthong,/ ɛ /
369,C,descend,v.,Monophthong,/ ɛ /
370,C,descent,n.,Monophthong,/ ɛ /
371,C,designate,v.,Monophthong,/ ɛ /
372,C,desirable,adj.,Diphthong,/ aɪ /
373,C,desktop,n.,Monophthong,/ ɛ /
374,C,destructive,adj.,Monophthong,/ ʌ /
375,C,detain,v.,Diphthong,/ eɪ /
376,C,detection,n.,Monophthong,/ ɛ /
377,C,detention,n.,Monophthong,/ ɛ /
378,C,deteriorate,v.,Monophthong,/ ɪ /
379,C,devastate,v.,Monophthong,/ ɛ /
380,C,devil,n.,Monophthong,/ ɛ /
381,C,devise,v.,Diphthong,/ aɪ /
382,C,diagnose,v.,Diphthong,/ aɪ /
383,C,diagnosis,n.,Diphthong,/ oʊ /
384,C,dictate,v.,Monophthong,/ ɪ /
385,C,dictator,n.,Monophthong,/ ɪ /
386,C,differentiate,v.,Monophthong,/ ɛ /
387,C,dignity,n.,Monophthong,/ ɪ /
388,C,dilemma,n.,Monophthong,/ ɛ /
389,C,dimension,n.,Monophthong,/ ɛ /
390,C,diminish,v.,Monophthong,/ ɪ /
391,C,dip,v.,Monophthong,/ ɪ /
392,C,diplomat,n.,Monophthong,/ ɪ /
393,C,diplomatic,n.,Monophthong,/ ɪ /
394,C,directory,n.,Monophthong,/ ɛ /
395,C,disastrous,adj.,Monophthong,/ æ /
396,C,discard,v.,Monophthong,/ ɑ /
397,C,discharge,v.,Monophthong,/ ɑ /
398,C,disclose,v.,Diphthong,/ oʊ /
399,C,disclosure,n.,Diphthong,/ oʊ /
400,C,discourse,n.,Monophthong,/ ɪ /
401,C,discretion,n.,Monophthong,/ ɛ /
402,C,discrimination,n.,Monophthong,/ ɪ /
403,C,dismissal,n.,Monophthong,/ ɪ /
404,C,displace,v.,Diphthong,/ eɪ /
405,C,disposal,n.,Diphthong,/ oʊ /
406,C,dispose,v.,Diphthong,/ oʊ /
407,C,dispute,n.,Monophthong,/ u /
408,C,dispute,v.,Monophthong,/ ɪ /
409,C,disrupt,v.,Monophthong,/ ʌ /
410,C,disruption,n.,Monophthong,/ ʌ /
411,C,dissolve,v.,Monophthong,/ ɑ /
412,C,distinction,n.,Monophthong,/ ɪ /
413,C,distinctive,adj.,Monophthong,/ ɪ /
414,C,distort,v.,Monophthong,/ ɔ /
415,C,distress,n.,Monophthong,/ ɛ /
416,C,distress,v.,Monophthong,/ ɛ /
417,C,disturbing,adj.,Monophthong,/ ɝ /
418,C,divert,v.,Monophthong,/ ɝ /
419,C,divine,adj.,Diphthong,/ aɪ /
420,C,doctrine,n.,Monophthong,/ ɑ /
421,C,documentation,n.,Diphthong,/ eɪ /
422,C,domain,n.,Diphthong,/ eɪ /
423,C,dominance,n.,Monophthong,/ ɑ /
424,C,donor,n.,Diphthong,/ oʊ /
425,C,dose,n.,Diphthong,/ oʊ /
426,C,drain,v.,Diphthong,/ eɪ /
427,C,drift,v.,Monophthong,/ ɪ /
428,C,driving,adj.,Diphthong,/ aɪ /
429,C,drown,v.,Diphthong,/ aʊ
430,C,dual,adj.,Monophthong,/ u /
431,C,dub,v.,Monophthong,/ ʌ /
432,C,dumb,adj.,Monophthong,/ ʌ /
433,C,duo,n.,Monophthong,/ u /
434,C,dynamic,n.,Diphthong,/ aɪ /
435,C,eager,adj.,Monophthong,/ i /
436,C,earnings,n.,Monophthong,/ ɝ /
437,C,ease,n.,Monophthong,/ i /
438,C,ease,v.,Monophthong,/ i /
439,C,echo,v.,Monophthong,/ ɛ /
440,C,echo,n.,Monophthong,/ ɛ /
441,C,ecological,adj.,Monophthong,/ ɑ /
442,C,educator,n.,Monophthong,/ ɛ /
443,C,effectiveness,n.,Monophthong,/ ɛ /
444,C,efficiency,n.,Monophthong,/ ɪ /
445,C,ego,n.,Monophthong,/ i /
446,C,elaborate,adj.,Monophthong,/ æ /
447,C,electoral,adj.,Monophthong,/ ɛ /
448,C,elevate,v.,Monophthong,/ ɛ /
449,C,eligible,adj.,Monophthong,/ ɛ /
450,C,elite,n.,Monophthong,/ i /
451,C,embark,v.,Monophthong,/ ɑ /
452,C,embarrassment,n.,Monophthong,/ æ /
453,C,embassy,n.,Monophthong,/ ɛ /
454,C,embed,v.,Monophthong,/ ɛ /
455,C,embody,v.,Monophthong,/ ɑ /
456,C,emergence,n.,Monophthong,/ ɛ /
457,C,empirical,adj.,Monophthong,/ ɛ /
458,C,empower,v.,Diphthong,/ aʊ
459,C,enact,v.,Monophthong,/ æ /
460,C,encompass,v.,Monophthong,/ ʌ /
461,C,encouragement,n.,Monophthong,/ ɝ /
462,C,encouraging,adj.,Monophthong,/ ɝ /
463,C,endeavor,n.,Monophthong,/ ɛ /
464,C,endless,adj.,Monophthong,/ ɛ /
465,C,endorse,v.,Monophthong,/ ɔ /
466,C,endorsement,n.,Monophthong,/ ɔ /
467,C,endure,v.,Monophthong,/ ʊ /
468,C,enforce,v.,Monophthong,/ ɔ /
469,C,enforcement,n.,Monophthong,/ ɔ /
470,C,engagement,n.,Diphthong,/ eɪ /
471,C,engaging,adj.,Diphthong,/ eɪ /
472,C,enquire,v.,Diphthong,/ aɪ /
473,C,enrich,v.,Monophthong,/ ɪ /
474,C,enroll,v.,Diphthong,/ oʊ /
475,C,ensue,v.,Monophthong,/ u /
476,C,enterprise,n.,Monophthong,/ ɛ /
477,C,enthusiast,n.,Monophthong,/ u /
478,C,entitle,v.,Diphthong,/ aɪ /
479,C,entity,n.,Monophthong,/ ɛ /
480,C,epidemic,n.,Monophthong,/ ɛ /
481,C,equality,n.,Monophthong,/ ɑ /
482,C,equation,n.,Diphthong,/ eɪ /
483,C,erect,v.,Monophthong,/ ɛ /
484,C,escalate,v.,Monophthong,/ ɛ /
485,C,essence,n.,Monophthong,/ ɛ /
486,C,establishment,n.,Monophthong,/ æ /
487,C,eternal,adj.,Monophthong,/ ɝ /
488,C,evacuate,v.,Monophthong,/ æ /
489,C,evoke,v.,Diphthong,/ oʊ /
490,C,evolutionary,adj.,Monophthong,/ u /
491,C,exaggerate,v.,Monophthong,/ æ /
492,C,excellence,n.,Monophthong,/ ɛ /
493,C,exceptional,adj.,Monophthong,/ ɛ /
494,C,excess,n.,Monophthong,/ ɛ /
495,C,excess,adj.,Monophthong,/ ɛ /
496,C,exclusion,n.,Monophthong,/ u /
497,C,exclusive,adj.,Monophthong,/ u /
498,C,exclusively,adv.,Monophthong,/ u /
499,C,execute,v.,Monophthong,/ ɛ /
500,C,execution,n.,Monophthong,/ u /
501,C,exert,v.,Monophthong,/ ɝ /
502,C,exile,n.,Monophthong,/ ɛ /
503,C,exit,v.,Monophthong,/ ɛ /
504,C,expenditure,n.,Monophthong,/ ɛ /
505,C,experimental,adj.,Monophthong,/ ɛ /
506,C,expire,v.,Diphthong,/ aɪ /
507,C,explicit,adj.,Monophthong,/ ɪ /
508,C,explicitly,adv.,Monophthong,/ ɪ /
509,C,exploitation,n.,Diphthong,/ eɪ /
510,C,explosive,adj.,Diphthong,/ oʊ /
511,C,explosive,n.,Diphthong,/ oʊ /
512,C,extract,v.,Monophthong,/ æ /
513,C,extremist,n.,Monophthong,/ i /
514,C,facilitate,v.,Monophthong,/ ɪ /
515,C,faction,n.,Monophthong,/ æ /
516,C,faculty,n.,Monophthong,/ æ /
517,C,fade,v.,Diphthong,/ eɪ /
518,C,fairness,n.,Monophthong,/ ɛ /
519,C,fatal,adj.,Diphthong,/ eɪ /
520,C,fate,n.,Diphthong,/ eɪ /
521,C,favourable,adj.,Diphthong,/ eɪ /
522,C,feat,n.,Monophthong,/ i /
523,C,feminist,adj.,Monophthong,/ ɛ /
524,C,feminist,n.,Monophthong,/ ɛ /
525,C,fibre,n.,Diphthong,/ aɪ /
526,C,fierce,adj.,Monophthong,/ ɪ /
527,C,film-maker,n.,Monophthong,/ ɪ /
