SID,Level,WORD,POS,Vowel_Type,Stressed_Vowel
528,C,filter,n.,Monophthong,/ ɪ /
529,C,filter,v.,Monophthong,/ ɪ /
530,C,fine,n.,Diphthong,/ aɪ /
531,C,fine,v.,Diphthong,/ aɪ /
532,C,firearm,n.,Diphthong,/ aɪ /
533,C,fit,n.,Monophthong,/ ɪ /
534,C,fixture,n.,Monophthong,/ ɪ /
535,C,flaw,n.,Monophthong,/ ɔ /
536,C,flawed,adj.,Monophthong,/ ɔ /
537,C,flee,v.,Monophthong,/ i /
538,C,fleet,n.,Monophthong,/ i /
539,C,flesh,n.,Monophthong,/ ɛ /
540,C,flexibility,n.,Monophthong,/ ɪ /
541,C,flourish,v.,Monophthong,/ ɝ /
542,C,fluid,n.,Monophthong,/ u /
543,C,footage,n.,Monophthong,/ ʊ /
544,C,foreigner,n.,Monophthong,/ ɔ /
545,C,forge,v.,Monophthong,/ ɔ /
546,C,formula,n.,Monophthong,/ ɔ /
547,C,formulate,v.,Monophthong,/ ɔ /
548,C,forth,adv.,Monophthong,/ ɔ /
549,C,forthcoming,adj.,Monophthong,/ ʌ /
550,C,foster,v.,Monophthong,/ ɑ /
551,C,fragile,adj.,Monophthong,/ æ /
552,C,franchise,n.,Monophthong,/ æ /
553,C,frankly,adv.,Monophthong,/ æ /
554,C,frustrated,adj.,Monophthong,/ ʌ /
555,C,frustrating,adj.,Monophthong,/ ʌ /
556,C,frustration,n.,Diphthong,/ eɪ /
557,C,functional,adj.,Monophthong,/ ʌ /
558,C,fundraising,n.,Monophthong,/ ʌ /
559,C,funeral,n.,Monophthong,/ u /
560,C,gallon,n.,Monophthong,/ æ /
561,C,gambling,n.,Monophthong,/ æ /
562,C,gathering,n.,Monophthong,/ æ /
563,C,gaze,n.,Diphthong,/ eɪ /
564,C,gaze,v.,Diphthong,/ eɪ /
565,C,gear,n.,Monophthong,/ ɪ /
566,C,generic,adj.,Monophthong,/ ɛ /
567,C,genocide,n.,Monophthong,/ ɛ /
568,C,glance,n.,Monophthong,/ æ /
569,C,glance,v.,Monophthong,/ æ /
570,C,glimpse,n.,Monophthong,/ ɪ /
571,C,glorious,adj.,Monophthong,/ ɔ /
572,C,glory,n.,Monophthong,/ ɔ /
573,C,governance,n.,Monophthong,/ ʌ /
574,C,grace,n.,Diphthong,/ eɪ /
575,C,grasp,v.,Monophthong,/ æ /
576,C,grasp,n.,Monophthong,/ æ /
577,C,grave,n.,Diphthong,/ eɪ /
578,C,grave,adj.,Diphthong,/ eɪ /
579,C,gravity,n.,Monophthong,/ æ /
580,C,grid,n.,Monophthong,/ ɪ /
581,C,grief,n.,Monophthong,/ i /
582,C,grin,v.,Monophthong,/ ɪ /
583,C,grin,n.,Monophthong,/ ɪ /
584,C,grind,v.,Diphthong,/ aɪ /
585,C,grip,n.,Monophthong,/ ɪ /
586,C,grip,v.,Monophthong,/ ɪ /
587,C,gross,adj.,Diphthong,/ oʊ /
588,C,guerrilla,n.,Monophthong,/ ɪ /
589,C,guidance,n.,Diphthong,/ aɪ /
590,C,guilt,n.,Monophthong,/ ɪ /
591,C,gut,n.,Monophthong,/ ʌ /
592,C,hail,v.,Diphthong,/ eɪ /
593,C,halfway,adv.,Diphthong,/ eɪ /
594,C,halt,v.,Monophthong,/ ɔ /
595,C,halt,n.,Monophthong,/ ɔ /
596,C,handful,n.,Monophthong,/ æ /
597,C,handling,n.,Monophthong,/ æ /
598,C,handy,adj.,Monophthong,/ æ /
599,C,harassment,n.,Monophthong,/ æ /
600,C,hardware,n.,Monophthong,/ ɑ /
601,C,harmony,n.,Monophthong,/ ɑ /
602,C,harsh,adj.,Monophthong,/ ɑ /
603,C,harvest,n.,Monophthong,/ ɑ /
604,C,harvest,v.,Monophthong,/ ɑ /
605,C,hatred,n.,Diphthong,/ eɪ /
606,C,haunt,v.,Monophthong,/ ɔ /
607,C,hazard,n.,Monophthong,/ æ /
608,C,heighten,v.,Diphthong,/ aɪ /
609,C,heritage,n.,Monophthong,/ ɛ /
610,C,hierarchy,n.,Diphthong,/ aɪ /
611,C,high-profile,adj.,Diphthong,/ oʊ /
612,C,hint,n.,Monophthong,/ ɪ /
613,C,homeland,n.,Diphthong,/ oʊ /
614,C,hook,v.,Monophthong,/ ʊ /
615,C,hopeful,adj.,Diphthong,/ oʊ /
616,C,horizon,n.,Diphthong,/ aɪ /
617,C,horn,n.,Monophthong,/ ɔ /
618,C,hostage,n.,Monophthong,/ ɑ /
619,C,hostile,adj.,Monophthong,/ ɑ /
620,C,hostility,n.,Monophthong,/ ɪ /
621,C,humanitarian,adj.,Monophthong,/ ɛ /
622,C,humanity,n.,Monophthong,/ æ /
623,C,humble,adj.,Monophthong,/ ʌ /
624,C,hydrogen,n.,Diphthong,/ aɪ /
625,C,identification,n.,Diphthong,/ eɪ /
626,C,ideological,adj.,Monophthong,/ ɑ /
627,C,ideology,n.,Monophthong,/ ɑ /
628,C,idiot,n.,Monophthong,/ ɪ /
629,C,ignorance,n.,Monophthong,/ ɪ /
630,C,imagery,n.,Monophthong,/ ɪ /
631,C,immense,adj.,Monophthong,/ ɛ /
632,C,imminent,adj.,Monophthong,/ ɪ /
633,C,implementation,n.,Diphthong,/ eɪ /
634,C,imprison,v.,Monophthong,/ ɪ /
635,C,imprisonment,n.,Monophthong,/ ɪ /
636,C,inability,n.,Monophthong,/ ɪ /
637,C,inadequate,adj.,Monophthong,/ æ /
638,C,inappropriate,adj.,Diphthong,/ oʊ /
639,C,incidence,n.,Monophthong,/ ɪ /
640,C,inclined,adj.,Diphthong,/ aɪ /
641,C,inclusion,n.,Monophthong,/ u /
642,C,incur,v.,Monophthong,/ ɝ /
643,C,indicator,n.,Monophthong,/ ɪ /
644,C,indictment,n.,Diphthong,/ aɪ /
645,C,indigenous,adj.,Monophthong,/ ɪ /
646,C,induce,v.,Monophthong,/ u /
647,C,indulge,v.,Monophthong,/ ʌ /
648,C,inequality,n.,Monophthong,/ ɑ /
649,C,infamous,adj.,Monophthong,/ ɪ /
650,C,infant,n.,Monophthong,/ ɪ /
651,C,infect,v.,Monophthong,/ ɛ /
652,C,inflict,v.,Monophthong,/ ɪ /
653,C,influential,adj.,Monophthong,/ ɛ /
654,C,inherent,adj.,Monophthong,/ ɛ /
655,C,inhibit,v.,Monophthong,/ ɪ /
656,C,initiate,v.,Monophthong,/ ɪ /
657,C,inject,v.,Monophthong,/ ɛ /
658,C,injection,n.,Monophthong,/ ɛ /
659,C,injustice,n.,Monophthong,/ ʌ /
660,C,inmate,n.,Monophthong,/ ɪ /
661,C,insertion,n.,Monophthong,/ ɝ /
662,C,insider,n.,Diphthong,/ aɪ /
663,C,inspect,v.,Monophthong,/ ɛ /
664,C,inspection,n.,Monophthong,/ ɛ /
665,C,inspiration,n.,Diphthong,/ eɪ /
666,C,instinct,n.,Monophthong,/ ɪ /
667,C,institutional,adj.,Monophthong,/ u /
668,C,instruct,v.,Monophthong,/ ʌ /
669,C,instrumental,adj.,Monophthong,/ ɛ /
670,C,insufficient,adj.,Monophthong,/ ɪ /
671,C,insult,n.,Monophthong,/ ɪ /
672,C,insult,v.,Monophthong,/ ʌ /
673,C,intact,adj.,Monophthong,/ æ /
674,C,intake,n.,Monophthong,/ ɪ /
675,C,integral,adj.,Monophthong,/ ɛ /
676,C,integrated,adj.,Monophthong,/ ɪ /
677,C,integration,n.,Diphthong,/ eɪ /
678,C,integrity,n.,Monophthong,/ ɛ /
679,C,intellectual,n.,Monophthong,/ ɛ /
680,C,intensify,v.,Monophthong,/ ɛ /
681,C,intensity,n.,Monophthong,/ ɛ /
682,C,intensive,adj.,Monophthong,/ ɛ /
683,C,intent,n.,Monophthong,/ ɛ /
684,C,interactive,adj.,Monophthong,/ æ /
685,C,interface,n.,Monophthong,/ ɪ /
686,C,interfere,v.,Monophthong,/ ɪ /
687,C,interference,n.,Monophthong,/ ɪ /
688,C,interim,adj.,Monophthong,/ ɪ /
689,C,interior,"adj., n.",Monophthong,/ ɪ /
690,C,intermediate,adj.,Monophthong,/ i /
691,C,intervene,v.,Monophthong,/ i /
692,C,intervention,n.,Monophthong,/ ɛ /
693,C,intimate,adj.,Monophthong,/ ɪ /
694,C,intriguing,adj.,Monophthong,/ i /
695,C,investigator,n.,Monophthong,/ ɛ /
696,C,invisible,adj.,Monophthong,/ ɪ /
697,C,invoke,v.,Diphthong,/ oʊ /
698,C,involvement,n.,Monophthong,/ ɑ /
699,C,ironic,adj.,Monophthong,/ ɑ /
700,C,ironically,adv.,Monophthong,/ ɑ /
701,C,irony,n.,Diphthong,/ aɪ /
702,C,irrelevant,adj.,Monophthong,/ ɛ /
703,C,isolation,n.,Diphthong,/ eɪ /
704,C,judicial,adj.,Monophthong,/ ɪ /
705,C,junction,n.,Monophthong,/ ʌ /
706,C,jurisdiction,n.,Monophthong,/ ɪ /
707,C,just,adj.,Monophthong,/ ʌ /
708,C,justification,n.,Diphthong,/ eɪ /
709,C,kidnap,v.,Monophthong,/ ɪ /
710,C,kidney,n.,Monophthong,/ ɪ /
711,C,kingdom,n.,Monophthong,/ ɪ /
712,C,lad,n.,Monophthong,/ æ /
713,C,landlord,n.,Monophthong,/ æ /
714,C,landmark,n.,Monophthong,/ æ /
715,C,lap,n.,Monophthong,/ æ /
716,C,large-scale,adj.,Diphthong,/ eɪ /
717,C,laser,n.,Diphthong,/ eɪ /
718,C,latter,adj.,Monophthong,/ æ /
719,C,latter,n.,Monophthong,/ æ /
720,C,lawn,n.,Monophthong,/ ɔ /
721,C,lawsuit,n.,Monophthong,/ ɔ /
722,C,layout,n.,Diphthong,/ eɪ /
723,C,leak,v.,Monophthong,/ i /
724,C,leak,n.,Monophthong,/ i /
725,C,leap,v.,Monophthong,/ i /
726,C,leap,n.,Monophthong,/ i /
727,C,legacy,n.,Monophthong,/ ɛ /
728,C,legendary,adj.,Monophthong,/ ɛ /
729,C,legislation,n.,Diphthong,/ eɪ /
730,C,legislative,adj.,Monophthong,/ ɛ /
731,C,legislature,n.,Monophthong,/ ɛ /
732,C,legitimate,adj.,Monophthong,/ ɪ /
733,C,lengthy,adj.,Monophthong,/ ɛ /
734,C,lesbian,adj.,Monophthong,/ ɛ /
735,C,lesser,adj.,Monophthong,/ ɛ /
736,C,lethal,adj.,Monophthong,/ i /
737,C,liable,adj.,Diphthong,/ aɪ /
738,C,liberal,adj.,Monophthong,/ ɪ /
739,C,liberal,n.,Monophthong,/ ɪ /
740,C,liberation,n.,Diphthong,/ eɪ /
741,C,liberty,n.,Monophthong,/ ɪ /
742,C,license,v.,Diphthong,/ aɪ /
743,C,lifelong,adj.,Diphthong,/ aɪ /
744,C,likelihood,n.,Diphthong,/ aɪ /
745,C,limb,n.,Monophthong,/ ɪ /
746,C,linear,adj.,Monophthong,/ ɪ /
747,C,line-up,n.,Diphthong,/ aɪ /
748,C,linger,v.,Monophthong,/ ɪ /
749,C,listing,n.,Monophthong,/ ɪ /
750,C,literacy,n.,Monophthong,/ ɪ /
751,C,liver,n.,Monophthong,/ ɪ /
752,C,lobby,n.,Monophthong,/ ɑ /
753,C,log,n.,Monophthong,/ ɔ /
754,C,log,v.,Monophthong,/ ɔ /
755,C,logic,n.,Monophthong,/ ɑ /
756,C,long-standing,adj.,Monophthong,/ æ /
757,C,long-time,adj.,Monophthong,/ ɔ /
758,C,loom,v.,Monophthong,/ u /
759,C,loop,n.,Monophthong,/ u /
760,C,loyalty,n.,Diphthong,/ ɔɪ /
761,C,machinery,n.,Monophthong,/ i /
762,C,magical,adj.,Monophthong,/ æ /
763,C,magistrate,n.,Monophthong,/ æ /
764,C,magnetic,adj.,Monophthong,/ ɛ /
765,C,magnitude,n.,Monophthong,/ æ /
766,C,mainland,n.,Diphthong,/ eɪ /
767,C,mainstream,n.,Diphthong,/ eɪ /
768,C,mainstream,adj.,Diphthong,/ eɪ /
769,C,maintenance,n.,Diphthong,/ eɪ /
770,C,mandate,n.,Monophthong,/ æ /
771,C,mandatory,adj.,Monophthong,/ æ /
772,C,manifest,v.,Monophthong,/ æ /
773,C,manipulate,v.,Monophthong,/ ɪ /
774,C,manipulation,n.,Diphthong,/ eɪ /
775,C,manuscript,n.,Monophthong,/ æ /
776,C,march,n.,Monophthong,/ ɑ /
777,C,march,v.,Monophthong,/ ɑ /
778,C,marginal,adj.,Monophthong,/ ɑ /
779,C,marine,adj.,Monophthong,/ i /
780,C,marketplace,n.,Monophthong,/ ɑ /
781,C,mask,n.,Monophthong,/ æ /
782,C,massacre,n.,Monophthong,/ æ /
783,C,mathematical,adj.,Monophthong,/ æ /
784,C,mature,adj.,Monophthong,/ ʊ /
785,C,mature,v.,Monophthong,/ ʊ /
786,C,maximize,v.,Monophthong,/ æ /
787,C,meaningful,adj.,Monophthong,/ i /
788,C,meantime,n.,Monophthong,/ i /
789,C,medieval,adj.,Monophthong,/ i /
790,C,meditation,n.,Diphthong,/ eɪ /
791,C,melody,n.,Monophthong,/ ɛ /
792,C,memo,n.,Monophthong,/ ɛ /
793,C,memoir,n.,Monophthong,/ ɛ /
794,C,memorial,n.,Monophthong,/ ɔ /
795,C,mentor,n.,Monophthong,/ ɛ /
796,C,merchant,n.,Monophthong,/ ɝ /
797,C,mercy,n.,Monophthong,/ ɝ /
798,C,mere,adj.,Monophthong,/ ɪ /
799,C,merely,adv.,Monophthong,/ ɪ /
800,C,merge,v.,Monophthong,/ ɝ /
801,C,merger,n.,Monophthong,/ ɝ /
802,C,merit,n.,Monophthong,/ ɛ /
803,C,methodology,n.,Monophthong,/ ɑ /
804,C,midst,n.,Monophthong,/ ɪ /
805,C,migration,n.,Diphthong,/ eɪ /
806,C,militant,n.,Monophthong,/ ɪ /
807,C,militant,adj.,Monophthong,/ ɪ /
808,C,militia,n.,Monophthong,/ ɪ /
809,C,mill,n.,Monophthong,/ ɪ /
810,C,minimal,adj.,Monophthong,/ ɪ /
811,C,minimize,v.,Monophthong,/ ɪ /
812,C,mining,n.,Diphthong,/ aɪ /
813,C,ministry,n.,Monophthong,/ ɪ /
814,C,minute,,Monophthong,/ ɪ /
815,C,miracle,n.,Monophthong,/ ɪ /
816,C,misery,n.,Monophthong,/ ɪ /
817,C,misleading,adj.,Monophthong,/ i /
818,C,missile,n.,Monophthong,/ ɪ /
819,C,mob,n.,Monophthong,/ ɑ /
820,C,mobility,n.,Monophthong,/ ɪ /
821,C,mobilize,v.,Diphthong,/ oʊ /
822,C,moderate,adj.,Monophthong,/ ɑ /
823,C,modification,n.,Diphthong,/ eɪ /
824,C,momentum,n.,Monophthong,/ ɛ /
825,C,monk,n.,Monophthong,/ ʌ /
826,C,monopoly,n.,Monophthong,/ ɑ /
827,C,morality,n.,Monophthong,/ æ /
828,C,motive,n.,Diphthong,/ oʊ /
829,C,motorist,n.,Diphthong,/ oʊ /
830,C,municipal,adj.,Monophthong,/ ɪ /
831,C,mutual,adj.,Monophthong,/ u /
832,C,namely,adv.,Diphthong,/ eɪ /
833,C,nationwide,adj.,Diphthong,/ aɪ /
834,C,naval,adj.,Diphthong,/ eɪ /
835,C,neglect,v.,Monophthong,/ ɛ /
836,C,neglect,n.,Monophthong,/ ɛ /
837,C,neighboring,adj.,Diphthong,/ eɪ /
838,C,nest,n.,Monophthong,/ ɛ /
839,C,net,adj.,Monophthong,/ ɛ /
840,C,newsletter,n.,Monophthong,/ u /
841,C,niche,n.,Monophthong,/ ɪ /
842,C,noble,adj.,Diphthong,/ oʊ /
843,C,nod,v.,Monophthong,/ ɑ /
844,C,nominate,v.,Monophthong,/ ɑ /
845,C,nomination,n.,Diphthong,/ eɪ /
846,C,nominee,n.,Monophthong,/ i /
847,C,nonetheless,adv.,Monophthong,/ ɛ /
848,C,non-profit,adj.,Monophthong,/ ɑ /
849,C,nonsense,n.,Monophthong,/ ɑ /
850,C,noon,n.,Monophthong,/ u /
851,C,notable,adj.,Diphthong,/ oʊ /
852,C,notably,adv.,Diphthong,/ oʊ /
853,C,notify,v.,Diphthong,/ oʊ /
854,C,notorious,adj.,Monophthong,/ ɔ /
855,C,novel,adj.,Monophthong,/ ɑ /
856,C,nursery,n.,Monophthong,/ ɝ /
857,C,objection,n.,Monophthong,/ ɛ /
858,C,oblige,v.,Diphthong,/ aɪ /
859,C,obsess,v.,Monophthong,/ ɛ /
860,C,obsession,n.,Monophthong,/ ɛ /
861,C,occasional,adj.,Diphthong,/ eɪ /
862,C,occurrence,n.,Monophthong,/ ɝ /
863,C,odds,n.,Monophthong,/ ɑ /
864,C,offering,n.,Monophthong,/ ɔ /
865,C,offspring,n.,Monophthong,/ ɔ /
866,C,operational,adj.,Diphthong,/ eɪ /
867,C,opt,v.,Monophthong,/ ɑ /
868,C,optical,adj.,Monophthong,/ ɑ /
869,C,optimism,n.,Monophthong,/ ɑ /
870,C,oral,adj.,Monophthong,/ ɔ /
871,C,organizational,adj.,Diphthong,/ eɪ /
872,C,orientation,n.,Diphthong,/ eɪ /
873,C,originate,v.,Monophthong,/ ɪ /
874,C,outbreak,n.,Diphthong,/ aʊ
875,C,outing,n.,Diphthong,/ aʊ
876,C,outlet,n.,Diphthong,/ aʊ
877,C,outlook,n.,Diphthong,/ aʊ
878,C,outrage,n.,Diphthong,/ aʊ
879,C,outrage,v.,Diphthong,/ aʊ
880,C,outsider,n.,Diphthong,/ aɪ /
881,C,overlook,v.,Monophthong,/ ʊ /
882,C,overly,adv.,Diphthong,/ oʊ /
883,C,oversee,v.,Monophthong,/ i /
884,C,overturn,v.,Monophthong,/ ɝ /
885,C,overwhelm,v.,Monophthong,/ ɛ /
886,C,overwhelming,adj.,Monophthong,/ ɛ /
887,C,pad,n.,Monophthong,/ æ /
888,C,parameter,n.,Monophthong,/ æ /
889,C,parental,adj.,Monophthong,/ ɛ /
890,C,parish,n.,Monophthong,/ æ /
891,C,parliamentary,adj.,Monophthong,/ ɛ /
892,C,partial,adj.,Monophthong,/ ɑ /
893,C,partially,adv.,Monophthong,/ ɑ /
894,C,passing,n.,Monophthong,/ æ /
895,C,passive,adj.,Monophthong,/ æ /
896,C,pastor,n.,Monophthong,/ æ /
897,C,patch,n.,Monophthong,/ æ /
898,C,patent,n.,Monophthong,/ æ /
899,C,pathway,n.,Monophthong,/ æ /
900,C,patrol,n.,Diphthong,/ oʊ /
901,C,patrol,v.,Diphthong,/ oʊ /
902,C,patron,n.,Diphthong,/ eɪ /
903,C,peak,n.,Monophthong,/ i /
904,C,peasant,n.,Monophthong,/ ɛ /
905,C,peculiar,adj.,Monophthong,/ u /
906,C,persist,v.,Monophthong,/ ɪ /
907,C,persistent,adj.,Monophthong,/ ɪ /
908,C,personnel,n.,Monophthong,/ ɛ /
909,C,petition,n.,Monophthong,/ ɪ /
910,C,philosopher,n.,Monophthong,/ ɑ /
911,C,philosophical,adj.,Monophthong,/ ɑ /
912,C,physician,n.,Monophthong,/ ɪ /
913,C,pioneer,n.,Monophthong,/ ɪ /
914,C,pipeline,n.,Diphthong,/ aɪ /
915,C,pirate,n.,Diphthong,/ aɪ /
916,C,pit,n.,Monophthong,/ ɪ /
917,C,plea,n.,Monophthong,/ i /
918,C,plead,v.,Monophthong,/ i /
919,C,pledge,v.,Monophthong,/ ɛ /
920,C,pledge,n.,Monophthong,/ ɛ /
921,C,plug,v.,Monophthong,/ ʌ /
922,C,plug,n.,Monophthong,/ ʌ /
923,C,plunge,v.,Monophthong,/ ʌ /
924,C,pole,n.,Diphthong,/ oʊ /
925,C,poll,n.,Diphthong,/ oʊ /
926,C,pond,n.,Monophthong,/ ɑ /
927,C,pop,v.,Monophthong,/ ɑ /
928,C,portfolio,n.,Diphthong,/ oʊ /
929,C,portray,v.,Diphthong,/ eɪ /
930,C,postpone,v.,Diphthong,/ oʊ /
931,C,post-war,adj.,Diphthong,/ oʊ /
932,C,practitioner,n.,Monophthong,/ ɪ /
933,C,preach,v.,Monophthong,/ i /
934,C,precedent,n.,Monophthong,/ ɛ /
935,C,precision,n.,Monophthong,/ ɪ /
936,C,predator,n.,Monophthong,/ ɛ /
937,C,predecessor,n.,Monophthong,/ ɛ /
938,C,predominantly,adv.,Monophthong,/ ɑ /
939,C,pregnancy,n.,Monophthong,/ ɛ /
940,C,prejudice,n.,Monophthong,/ ɛ /
941,C,preliminary,adj.,Monophthong,/ ɪ /
942,C,premier,n.,Monophthong,/ ɪ /
943,C,premise,n.,Monophthong,/ ɛ /
944,C,premium,n.,Monophthong,/ i /
945,C,prescribe,v.,Diphthong,/ aɪ /
946,C,prescription,n.,Monophthong,/ ɪ /
947,C,presently,adv.,Monophthong,/ ɛ /
948,C,preservation,n.,Monophthong,/ ɛ /
949,C,preside,v.,Diphthong,/ aɪ /
950,C,presidency,n.,Monophthong,/ ɛ /
951,C,presidential,adj.,Monophthong,/ ɛ /
952,C,prestigious,adj.,Monophthong,/ i /
953,C,presumably,adv.,Monophthong,/ u /
954,C,presume,v.,Monophthong,/ u /
955,C,prevail,v.,Diphthong,/ eɪ /
956,C,prevalence,n.,Monophthong,/ ɛ /
957,C,prevention,n.,Monophthong,/ ɛ /
958,C,prey,n.,Diphthong,/ eɪ /
959,C,principal,n.,Monophthong,/ ɪ /
960,C,privatization,n.,Diphthong,/ aɪ /
961,C,privilege,n.,Monophthong,/ ɪ /
962,C,probe,n.,Diphthong,/ oʊ /
963,C,probe,v.,Diphthong,/ oʊ /
964,C,problematic,adj.,Monophthong,/ æ /
965,C,proceedings,n.,Monophthong,/ i /
966,C,proceeds,n.,Diphthong,/ oʊ /
967,C,processing,n.,Monophthong,/ ɑ /
968,C,processor,n.,Monophthong,/ ɑ /
969,C,proclaim,v.,Monophthong,/ eɪ /
970,C,productive,adj.,Monophthong,/ ʌ /
971,C,productivity,n.,Diphthong,/ oʊ /
972,C,profitable,adj.,Monophthong,/ ɑ /
973,C,profound,adj.,Diphthong,/ aʊ
974,C,projection,n.,Monophthong,/ ɛ /
975,C,prominent,adj.,Monophthong,/ ɑ /
976,C,pronounced,adj.,Diphthong,/ aʊ /
977,C,propaganda,n.,Monophthong,/ ɑ /
978,C,proposition,n.,Monophthong,/ ɪ /
979,C,prosecute,v.,Monophthong,/ ɑ /
980,C,prosecution,n.,Monophthong,/ ɑ /
981,C,prosecutor,n.,Monophthong,/ ɑ /
982,C,prospective,adj.,Monophthong,/ ɛ /
983,C,prosperity,n.,Monophthong,/ ɛ /
984,C,protective,adj.,Monophthong,/ ɛ /
985,C,protocol,n.,Diphthong,/ oʊ /
986,C,province,n.,Monophthong,/ ɑ /
987,C,provincial,adj.,Monophthong,/ ɪ /
988,C,provision,n.,Monophthong,/ ɪ /
989,C,provoke,v.,Diphthong,/ oʊ /
990,C,psychiatric,adj.,Monophthong,/ æ /
991,C,pulse,n.,Monophthong,/ ʌ /
992,C,pump,v.,Monophthong,/ ʌ /
993,C,punch,n.,Monophthong,/ ʌ /
994,C,query,n.,Monophthong,/ ɪ /
995,C,quest,n.,Monophthong,/ ɛ /
996,C,quota,n.,Diphthong,/ oʊ /
997,C,radar,n.,Diphthong,/ eɪ /
998,C,radical,adj.,Monophthong,/ æ /
999,C,rage,n.,Diphthong,/ eɪ /
1000,C,raid,n.,Diphthong,/ eɪ /
1001,C,rally,n.,Monophthong,/ æ /
1002,C,ranking,n.,Monophthong,/ æ /
1003,C,rape,v.,Diphthong,/ eɪ /
1004,C,ratio,n.,Diphthong,/ eɪ /
1005,C,rational,adj.,Monophthong,/ æ /
1006,C,ray,n.,Diphthong,/ eɪ /
1007,C,readily,adv.,Monophthong,/ ɛ /
1008,C,realization,n.,Diphthong,/ eɪ /
1009,C,realm,n.,Monophthong,/ ɛ /
1010,C,rear,adj.,Monophthong,/ ɪ /
1011,C,rear,n.,Monophthong,/ ɪ /
1012,C,reasoning,n.,Monophthong,/ i /
1013,C,reassure,v.,Monophthong,/ ʊ /
1014,C,rebel,n.,Monophthong,/ ɛ /
1015,C,rebellion,n.,Monophthong,/ ɛ /
1016,C,recipient,n.,Monophthong,/ ɪ /
1017,C,reconstruction,n.,Monophthong,/ ʌ /
1018,C,recount1,v.,Diphthong,/ aʊ
1019,C,referendum,n.,Monophthong,/ ɛ /
1020,C,reflection,n.,Monophthong,/ ɛ /
1021,C,reform,"n., v.",Monophthong,/ ɔ /
1022,C,refuge,n.,Monophthong,/ ɛ /
1023,C,refusal,n.,Monophthong,/ u /
1024,C,regain,v.,Monophthong,/ u /
1025,C,regardless,adv.,Monophthong,/ ɑ /
1026,C,regime,n.,Monophthong,/ i /
1027,C,regulator,n.,Monophthong,/ ɛ /
1028,C,regulatory,adj.,Monophthong,/ ɛ /
1029,C,rehabilitation,n.,Monophthong,/ ɪ /
1030,C,reign,n.,Diphthong,/ eɪ /
1031,C,reign,v.,Diphthong,/ eɪ /
1032,C,rejection,n.,Monophthong,/ ɛ /
1033,C,relevance,n.,Monophthong,/ ɛ /
1034,C,reliability,n.,Monophthong,/ ɪ /
1035,C,reluctant,adj.,Monophthong,/ ʌ /
1036,C,remainder,n.,Diphthong,/ eɪ /
1037,C,remains,n.,Diphthong,/ eɪ /
1038,C,remedy,n.,Monophthong,/ ɛ /
1039,C,reminder,n.,Diphthong,/ aɪ /
1040,C,removal,n.,Monophthong,/ u /
1041,C,render,v.,Monophthong,/ ɛ /
1042,C,renew,v.,Monophthong,/ u /
1043,C,renowned,adj.,Diphthong,/ aʊ
1044,C,rental,n.,Monophthong,/ ɛ /
1045,C,replacement,n.,Diphthong,/ eɪ /
1046,C,reportedly,adv.,Monophthong,/ ɔ /
1047,C,representation,n.,Diphthong,/ eɪ /
1048,C,reproduce,v.,Monophthong,/ u /
1049,C,reproduction,n.,Monophthong,/ ʌ /
1050,C,republic,n.,Monophthong,/ ʌ /
1051,C,resemble,v.,Monophthong,/ ɛ /
1052,C,reside,v.,Diphthong,/ aɪ /
1053,C,residence,n.,Monophthong,/ ɛ /
